bayesian_threshold,bayesian_diff_threshold,intersection_length_threshold,average_success_time_rate,max_success_time_rate,min_success_time_rate,average_success_rate
0.1,0.1,1,0.324068181760979,0.7752811164923893,0.0208386633938436,0.8518518518518519
0.1,0.1,2,0.324068181760979,0.7752811164923893,0.0208386633938436,0.8518518518518519
0.1,0.1,3,0.324068181760979,0.7752811164923893,0.0208386633938436,0.8518518518518519
0.1,0.1,4,0.324068181760979,0.7752811164923893,0.0208386633938436,0.8518518518518519
0.1,0.1,5,0.3293820443748338,0.7752811164923893,0.0352932656460089,0.8888888888888888
0.1,0.1,6,0.3317518266242446,0.7752811164923893,0.0470624197376089,0.9259259259259259
0.1,0.1,7,0.33454461507592337,0.7752811164923893,0.0588186409629083,0.9629629629629629
0.1,0.1,8,0.33632742292272305,0.7752811164923893,0.0705868549400013,0.9629629629629629
0.1,0.1,9,0.342583839981549,0.7752811164923893,0.0823504539569085,1.0
0.1,0.1,10,0.34488990347088294,0.7752811164923893,0.0888945293938647,1.0
0.1,0.1,11,0.35490355781383587,0.7752811164923893,0.1000021569104342,1.0
0.1,0.1,12,0.3582561114544412,0.7752811164923893,0.1111135549619524,1.0
0.1,0.1,13,0.3627131381802404,0.7752811164923893,0.114615950486211,1.0
0.1,0.1,14,0.3670023328579178,0.7752811164923893,0.1250030692421463,1.0
0.1,0.1,15,0.37175657703105114,0.7752811164923893,0.135419623806045,1.0
0.1,0.1,16,0.37649674938872474,0.7752811164923893,0.1458363640989503,1.0
0.1,0.1,17,0.3963722527382761,0.7752811164923893,0.1562509847061825,1.0
0.1,0.1,18,0.4005975856439946,0.7752811164923893,0.1666668721873228,1.0
0.1,0.1,19,0.4057813395449313,0.7752811164923893,0.1770854188328379,1.0
0.1,0.15,1,0.3640998712016336,0.7977519303061835,0.0208386633938436,0.8888888888888888
0.1,0.15,2,0.3640998712016336,0.7977519303061835,0.0208386633938436,0.8888888888888888
0.1,0.15,3,0.3640998712016336,0.7977519303061835,0.0208386633938436,0.8888888888888888
0.1,0.15,4,0.3640998712016336,0.7977519303061835,0.0208386633938436,0.8888888888888888
0.1,0.15,5,0.3683908048171535,0.7977519303061835,0.0352932656460089,0.9259259259259259
0.1,0.15,6,0.37322956841136157,0.7977519303061835,0.0470624197376089,1.0
0.1,0.15,7,0.374047047824422,0.7977519303061835,0.0588267036976493,1.0
0.1,0.15,8,0.37539377899684007,0.7977519303061835,0.0705868549400013,1.0
0.1,0.15,9,0.37674047763955365,0.7977519303061835,0.0823504539569085,1.0
0.1,0.15,10,0.38498473256361304,0.7977519303061835,0.0888945293938647,1.0
0.1,0.15,11,0.3878735395719493,0.7977519303061835,0.1000021569104342,1.0
0.1,0.15,12,0.39070454320784226,0.7977519303061835,0.1111135549619524,1.0
0.1,0.15,13,0.3946397465378346,0.7977519303061835,0.114615950486211,1.0
0.1,0.15,14,0.39840732975531523,0.7977519303061835,0.1250030692421463,1.0
0.1,0.15,15,0.4026399480133541,0.7977519303061835,0.135419623806045,1.0
0.1,0.15,16,0.4080926498892668,0.7977519303061835,0.1458363640989503,1.0
0.1,0.15,17,0.4119074566865579,0.7977519303061835,0.1562509847061825,1.0
0.1,0.15,18,0.4157211731381482,0.7977519303061835,0.1666668721873228,1.0
0.1,0.15,19,0.41953651431835476,0.7977519303061835,0.1770854188328379,1.0
0.1,0.2,1,0.3869214837445093,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.1,0.2,2,0.3869214837445093,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.1,0.2,3,0.3869214837445093,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.1,0.2,4,0.3869214837445093,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.1,0.2,5,0.39159712546210096,0.9102523085805548,0.0352932656460089,0.9259259259259259
0.1,0.2,6,0.3969298913583784,0.9102523085805548,0.0470624197376089,1.0
0.1,0.2,7,0.39774737077143885,0.9102523085805548,0.0588267036976493,1.0
0.1,0.2,8,0.3990941019438569,0.9102523085805548,0.0705868549400013,1.0
0.1,0.2,9,0.4004408005865705,0.9102523085805548,0.0823504539569085,1.0
0.1,0.2,10,0.40904170901105974,0.9102523085805548,0.0941039400037495,1.0
0.1,0.2,11,0.41151912240767125,0.9102523085805548,0.1000021569104342,1.0
0.1,0.2,12,0.41385612374149483,0.9102523085805548,0.1111135549619524,1.0
0.1,0.2,13,0.4177913270714872,0.9102523085805548,0.1222216490315276,1.0
0.1,0.2,14,0.4211742021868961,0.9102523085805548,0.1250030692421463,1.0
0.1,0.2,15,0.42705290923058703,0.9102523085805548,0.135419623806045,1.0
0.1,0.2,16,0.4308595223208477,0.9102523085805548,0.1458363640989503,1.0
0.1,0.2,17,0.4346743291181388,0.9102523085805548,0.1562509847061825,1.0
0.1,0.2,18,0.4384880455697291,0.9102523085805548,0.1666668721873228,1.0
0.1,0.2,19,0.44230338674993563,0.9102523085805548,0.1770854188328379,1.0
0.1,0.25,1,0.4085465584611462,1.0,0.0235237602592878,0.8888888888888888
0.1,0.25,2,0.4085465584611462,1.0,0.0235237602592878,0.8888888888888888
0.1,0.25,3,0.4085465584611462,1.0,0.0235237602592878,0.8888888888888888
0.1,0.25,4,0.4085465584611462,1.0,0.0235237602592878,0.8888888888888888
0.1,0.25,5,0.40936425922139325,1.0,0.0352932656460089,0.9259259259259259
0.1,0.25,6,0.41568467286165417,1.0,0.0470624197376089,1.0
0.1,0.25,7,0.4165021522747146,1.0,0.0588267036976493,1.0
0.1,0.25,8,0.41784888344713267,1.0,0.0705868549400013,1.0
0.1,0.25,9,0.4268322835821393,1.0,0.0823504539569085,1.0
0.1,0.25,10,0.42779649051433544,1.0,0.0941039400037495,1.0
0.1,0.25,11,0.43027390391094705,1.0,0.1000021569104342,1.0
0.1,0.25,12,0.4326109052447706,1.0,0.1111135549619524,1.0
0.1,0.25,13,0.43605240450060284,1.0,0.1222216490315276,1.0
0.1,0.25,14,0.44141031285597304,1.0,0.1250030692421463,1.0
0.1,0.25,15,0.44599521805022513,1.0,0.135419623806045,1.0
0.1,0.25,16,0.4493948541667515,1.0,0.1458363640989503,1.0
0.1,0.25,17,0.4528025315973298,1.0,0.1562509847061825,1.0
0.1,0.25,18,0.45620936486831654,1.0,0.1666668721873228,1.0
0.1,0.25,19,0.464908570156445,1.0,0.1770854188328379,1.0
0.1,0.3,1,0.4156035993153385,1.0,0.0235237602592878,0.8888888888888888
0.1,0.3,2,0.4156035993153385,1.0,0.0235237602592878,0.8888888888888888
0.1,0.3,3,0.4156035993153385,1.0,0.0235237602592878,0.8888888888888888
0.1,0.3,4,0.4156035993153385,1.0,0.0235237602592878,0.8888888888888888
0.1,0.3,5,0.4164213000755857,1.0,0.0352932656460089,0.9259259259259259
0.1,0.3,6,0.424258802453734,1.0,0.0470624197376089,1.0
0.1,0.3,7,0.4250762818667944,1.0,0.0588267036976493,1.0
0.1,0.3,8,0.4339121517888618,1.0,0.0705868549400013,1.0
0.1,0.3,9,0.434876952772859,1.0,0.0823504539569085,1.0
0.1,0.3,10,0.4358411597050552,1.0,0.0941039400037495,1.0
0.1,0.3,11,0.43776556316403326,1.0,0.1058829535352797,1.0
0.1,0.3,12,0.4396910312366895,1.0,0.1111135549619524,1.0
0.1,0.3,13,0.4460130078364927,1.0,0.1250030692421463,1.0
0.1,0.3,14,0.4484904388478918,1.0,0.1250030692421463,1.0
0.1,0.3,15,0.4582794289142021,1.0,0.135419623806045,1.0
0.1,0.3,16,0.46173838174016374,1.0,0.1458363640989503,1.0
0.1,0.3,17,0.4645930214389559,1.0,0.1562509847061825,1.0
0.1,0.3,18,0.46799985470994265,1.0,0.1666668721873228,1.0
0.1,0.3,19,0.47140810579078835,1.0,0.1770854188328379,1.0
0.1,0.35,1,0.4346115066428639,1.0,0.0235237602592878,0.8888888888888888
0.1,0.35,2,0.4346115066428639,1.0,0.0235237602592878,0.8888888888888888
0.1,0.35,3,0.4346115066428639,1.0,0.0235237602592878,0.8888888888888888
0.1,0.35,4,0.4346115066428639,1.0,0.0235237602592878,0.8888888888888888
0.1,0.35,5,0.435429207403111,1.0,0.0352932656460089,0.9259259259259259
0.1,0.35,6,0.4437604750950793,1.0,0.0470624197376089,1.0
0.1,0.35,7,0.44457795450813975,1.0,0.0588267036976493,1.0
0.1,0.35,8,0.4579957152058787,1.0,0.0705868549400013,1.0
0.1,0.35,9,0.45896051618987604,1.0,0.0823504539569085,1.0
0.1,0.35,10,0.4599247231220723,1.0,0.0941039400037495,1.0
0.1,0.35,11,0.4612967061945404,1.0,0.1058829535352797,1.0
0.1,0.35,12,0.46322217426719664,1.0,0.1176479998504391,1.0
0.1,0.35,13,0.46625226263156316,1.0,0.1294109435713566,1.0
0.1,0.35,14,0.4784975979880201,1.0,0.135419623806045,1.0
0.1,0.35,15,0.4822330895643986,1.0,0.135419623806045,1.0
0.1,0.35,16,0.484586446552811,1.0,0.1458363640989503,1.0
0.1,0.35,17,0.48694732093778326,1.0,0.1562509847061825,1.0
0.1,0.35,18,0.4898014897024802,1.0,0.1666668721873228,1.0
0.1,0.35,19,0.4932097407833258,1.0,0.1770854188328379,1.0
0.1,0.4,1,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.1,0.4,2,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.1,0.4,3,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.1,0.4,4,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.1,0.4,5,0.45332593023012924,1.0,0.0352932656460089,0.9259259259259259
0.1,0.4,6,0.46215103259905466,1.0,0.0470624197376089,1.0
0.1,0.4,7,0.47595071155272994,1.0,0.0588267036976493,1.0
0.1,0.4,8,0.4763862727098541,1.0,0.0705868549400013,1.0
0.1,0.4,9,0.47735107369385144,1.0,0.0823504539569085,1.0
0.1,0.4,10,0.4783152806260476,1.0,0.0941039400037495,1.0
0.1,0.4,11,0.47928031236984625,1.0,0.1058829535352797,1.0
0.1,0.4,12,0.4812057804425025,1.0,0.1176479998504391,1.0
0.1,0.4,13,0.49441067407365674,1.0,0.1294109435713566,1.0
0.1,0.4,14,0.5086426936504859,1.0,0.135419623806045,1.0
0.1,0.4,15,0.5101673322667424,1.0,0.135419623806045,1.0
0.1,0.4,16,0.5125206892551548,1.0,0.1458363640989503,1.0
0.1,0.4,17,0.5148815636401269,1.0,0.1562509847061825,1.0
0.1,0.4,18,0.5172418977278669,1.0,0.1666668721873228,1.0
0.1,0.4,19,0.5200971759410047,1.0,0.1770854188328379,1.0
0.1,0.45,1,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.1,0.45,2,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.1,0.45,3,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.1,0.45,4,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.1,0.45,5,0.4705208146039764,0.9666652449045674,0.0352932656460089,0.9259259259259259
0.1,0.45,6,0.48036888550488965,0.9666652449045674,0.0470624197376089,1.0
0.1,0.45,7,0.4941685644585649,0.9666652449045674,0.0588267036976493,1.0
0.1,0.45,8,0.494604125615689,0.9666652449045674,0.0705868549400013,1.0
0.1,0.45,9,0.495039814468167,0.9666652449045674,0.0823504539569085,1.0
0.1,0.45,10,0.49600402140036326,0.9666652449045674,0.0941039400037495,1.0
0.1,0.45,11,0.4969690531441619,0.9666652449045674,0.1058829535352797,1.0
0.1,0.45,12,0.5101441157073028,0.9666652449045674,0.1176479998504391,1.0
0.1,0.45,13,0.5260343995336164,0.9666652449045674,0.1294109435713566,1.0
0.1,0.45,14,0.5280809500013498,0.9666652449045674,0.135419623806045,1.0
0.1,0.45,15,0.5290765451897906,0.9666652449045674,0.135419623806045,1.0
0.1,0.45,16,0.5314299021782032,0.9666652449045674,0.1458363640989503,1.0
0.1,0.45,17,0.5337907765631753,0.9666652449045674,0.1562509847061825,1.0
0.1,0.45,18,0.536151110650915,0.9666652449045674,0.1666668721873228,1.0
0.1,0.45,19,0.5385125324635844,0.9666652449045674,0.1770854188328379,1.0
0.1,0.5,1,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.1,0.5,2,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.1,0.5,3,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.1,0.5,4,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.1,0.5,5,0.559910847811948,0.9777840199694716,0.0412334343745612,1.0
0.1,0.5,6,0.5736566713414927,0.9777840199694716,0.0470624197376089,1.0
0.1,0.5,7,0.574092385562235,0.9777840199694716,0.0588267036976493,1.0
0.1,0.5,8,0.5745279467193589,0.9777840199694716,0.0705868549400013,1.0
0.1,0.5,9,0.574963635571837,0.9777840199694716,0.0823504539569085,1.0
0.1,0.5,10,0.5759278425040333,0.9777840199694716,0.0941039400037495,1.0
0.1,0.5,11,0.5768928742478319,0.9777840199694716,0.1058829535352797,1.0
0.1,0.5,12,0.5778582447666845,0.9777840199694716,0.1176479998504391,1.0
0.1,0.5,13,0.5788229340201426,0.9777840199694716,0.1294109435713566,1.0
0.1,0.5,14,0.5813983375664855,0.9777840199694716,0.135419623806045,1.0
0.1,0.5,15,0.5823939327549263,0.9777840199694716,0.135419623806045,1.0
0.1,0.5,16,0.5842184366647292,0.9777840199694716,0.1458363640989503,1.0
0.1,0.5,17,0.5865793110497013,0.9777840199694716,0.1562509847061825,1.0
0.1,0.5,18,0.5889396451374412,0.9777840199694716,0.1666668721873228,1.0
0.1,0.5,19,0.5913010669501104,0.9777840199694716,0.1770854188328379,1.0
