file_name,bayesian_threshold,bayesian_diff_threshold,intersection_length_threshold,success_time_rate,is_success
box0_data0.csv,0.1,0.0,1,0.030925019234611252,True
box0_data0.csv,0.1,0.0,2,0.030925019234611252,True
box0_data0.csv,0.1,0.0,3,0.030925019234611252,True
box0_data0.csv,0.1,0.0,4,0.030925019234611252,True
box0_data0.csv,0.1,0.0,5,0.041233434374561236,True
box0_data0.csv,0.1,0.0,6,0.051543621883072564,True
box0_data0.csv,0.1,0.0,7,0.061851282075664774,True
box0_data0.csv,0.1,0.0,8,0.0721574416518785,True
box0_data0.csv,0.1,0.0,9,0.08246867843721727,True
box0_data0.csv,0.1,0.0,10,0.09278425851522062,True
box0_data0.csv,0.1,0.05,1,0.030925019234611252,True
box0_data0.csv,0.1,0.05,2,0.030925019234611252,True
box0_data0.csv,0.1,0.05,3,0.030925019234611252,True
box0_data0.csv,0.1,0.05,4,0.030925019234611252,True
box0_data0.csv,0.1,0.05,5,0.041233434374561236,True
box0_data0.csv,0.1,0.05,6,0.051543621883072564,True
box0_data0.csv,0.1,0.05,7,0.061851282075664774,True
box0_data0.csv,0.1,0.05,8,0.0721574416518785,True
box0_data0.csv,0.1,0.05,9,0.08246867843721727,True
box0_data0.csv,0.1,0.05,10,0.09278425851522062,True
box0_data0.csv,0.1,0.1,1,0.030925019234611252,True
box0_data0.csv,0.1,0.1,2,0.030925019234611252,True
box0_data0.csv,0.1,0.1,3,0.030925019234611252,True
box0_data0.csv,0.1,0.1,4,0.030925019234611252,True
box0_data0.csv,0.1,0.1,5,0.041233434374561236,True
box0_data0.csv,0.1,0.1,6,0.051543621883072564,True
box0_data0.csv,0.1,0.1,7,0.061851282075664774,True
box0_data0.csv,0.1,0.1,8,0.0721574416518785,True
box0_data0.csv,0.1,0.1,9,0.08246867843721727,True
box0_data0.csv,0.1,0.1,10,0.09278425851522062,True
box0_data0.csv,0.1,0.15,1,0.030925019234611252,True
box0_data0.csv,0.1,0.15,2,0.030925019234611252,True
box0_data0.csv,0.1,0.15,3,0.030925019234611252,True
box0_data0.csv,0.1,0.15,4,0.030925019234611252,True
box0_data0.csv,0.1,0.15,5,0.041233434374561236,True
box0_data0.csv,0.1,0.15,6,0.051543621883072564,True
box0_data0.csv,0.1,0.15,7,0.061851282075664774,True
box0_data0.csv,0.1,0.15,8,0.0721574416518785,True
box0_data0.csv,0.1,0.15,9,0.08246867843721727,True
