bayesian_threshold,bayesian_diff_threshold,intersection_length_threshold,average_success_time_rate,max_success_time_rate,min_success_time_rate,average_success_rate
0.1,0.0,1,0.3226539092773642,0.7752811164923893,0.0208386633938436,0.8518518518518519
0.1,0.0,5,0.32488030883463365,0.7752811164923893,0.031254447958406,0.8888888888888888
0.1,0.0,10,0.3388317130557263,0.7752811164923893,0.0833380566105124,1.0
0.1,0.05,1,0.3226539092773642,0.7752811164923893,0.0208386633938436,0.8518518518518519
0.1,0.05,5,0.32488030883463365,0.7752811164923893,0.031254447958406,0.8888888888888888
0.1,0.05,10,0.339217506735566,0.7752811164923893,0.0888945293938647,1.0
0.1,0.1,1,0.324068181760979,0.7752811164923893,0.0208386633938436,0.8518518518518519
0.1,0.1,5,0.3293820443748338,0.7752811164923893,0.0352932656460089,0.8888888888888888
0.1,0.1,10,0.34488990347088294,0.7752811164923893,0.0888945293938647,1.0
0.1,0.15,1,0.3640998712016336,0.7977519303061835,0.0208386633938436,0.8888888888888888
0.1,0.15,5,0.3683908048171535,0.7977519303061835,0.0352932656460089,0.9259259259259259
0.1,0.15,10,0.38498473256361304,0.7977519303061835,0.0888945293938647,1.0
0.1,0.2,1,0.3869214837445093,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.1,0.2,5,0.39159712546210096,0.9102523085805548,0.0352932656460089,0.9259259259259259
0.1,0.2,10,0.40904170901105974,0.9102523085805548,0.0941039400037495,1.0
0.1,0.25,1,0.4085465584611462,1.0,0.0235237602592878,0.8888888888888888
0.1,0.25,5,0.40936425922139325,1.0,0.0352932656460089,0.9259259259259259
0.1,0.25,10,0.42779649051433544,1.0,0.0941039400037495,1.0
0.1,0.3,1,0.4156035993153385,1.0,0.0235237602592878,0.8888888888888888
0.1,0.3,5,0.4164213000755857,1.0,0.0352932656460089,0.9259259259259259
0.1,0.3,10,0.4358411597050552,1.0,0.0941039400037495,1.0
0.1,0.35,1,0.4346115066428639,1.0,0.0235237602592878,0.8888888888888888
0.1,0.35,5,0.435429207403111,1.0,0.0352932656460089,0.9259259259259259
0.1,0.35,10,0.4599247231220723,1.0,0.0941039400037495,1.0
0.1,0.4,1,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.1,0.4,5,0.45332593023012924,1.0,0.0352932656460089,0.9259259259259259
0.1,0.4,10,0.4783152806260476,1.0,0.0941039400037495,1.0
0.1,0.45,1,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.1,0.45,5,0.4705208146039764,0.9666652449045674,0.0352932656460089,0.9259259259259259
0.1,0.45,10,0.49600402140036326,0.9666652449045674,0.0941039400037495,1.0
0.1,0.5,1,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.1,0.5,5,0.559910847811948,0.9777840199694716,0.0412334343745612,1.0
0.1,0.5,10,0.5759278425040333,0.9777840199694716,0.0941039400037495,1.0
0.2,0.0,1,0.38499327632219704,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.2,0.0,5,0.3873541880209076,0.9102523085805548,0.0352932656460089,0.8888888888888888
0.2,0.0,10,0.40496847204435227,0.9102523085805548,0.0937544859661857,1.0
0.2,0.05,1,0.38499327632219704,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.2,0.05,5,0.3873541880209076,0.9102523085805548,0.0352932656460089,0.8888888888888888
0.2,0.05,10,0.40496847204435227,0.9102523085805548,0.0937544859661857,1.0
0.2,0.1,1,0.38499327632219704,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.2,0.1,5,0.38928420993771695,0.9102523085805548,0.0352932656460089,0.9259259259259259
0.2,0.1,10,0.40574111887842723,0.9102523085805548,0.0941039400037495,1.0
0.2,0.15,1,0.38546808507633934,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.2,0.15,5,0.38975901869185925,0.9102523085805548,0.0352932656460089,0.9259259259259259
0.2,0.15,10,0.4067095999387486,0.9102523085805548,0.0941039400037495,1.0
0.2,0.2,1,0.3869214837445093,0.9102523085805548,0.0208386633938436,0.8888888888888888
0.2,0.2,5,0.39159712546210096,0.9102523085805548,0.0352932656460089,0.9259259259259259
0.2,0.2,10,0.40904170901105974,0.9102523085805548,0.0941039400037495,1.0
0.2,0.25,1,0.4085465584611462,1.0,0.0235237602592878,0.8888888888888888
0.2,0.25,5,0.40936425922139325,1.0,0.0352932656460089,0.9259259259259259
0.2,0.25,10,0.42779649051433544,1.0,0.0941039400037495,1.0
0.2,0.3,1,0.4156035993153385,1.0,0.0235237602592878,0.8888888888888888
0.2,0.3,5,0.4164213000755857,1.0,0.0352932656460089,0.9259259259259259
0.2,0.3,10,0.4358411597050552,1.0,0.0941039400037495,1.0
0.2,0.35,1,0.4346115066428639,1.0,0.0235237602592878,0.8888888888888888
0.2,0.35,5,0.435429207403111,1.0,0.0352932656460089,0.9259259259259259
0.2,0.35,10,0.4599247231220723,1.0,0.0941039400037495,1.0
0.2,0.4,1,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.2,0.4,5,0.45332593023012924,1.0,0.0352932656460089,0.9259259259259259
0.2,0.4,10,0.4783152806260476,1.0,0.0941039400037495,1.0
0.2,0.45,1,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.2,0.45,5,0.4705208146039764,0.9666652449045674,0.0352932656460089,0.9259259259259259
0.2,0.45,10,0.49600402140036326,0.9666652449045674,0.0941039400037495,1.0
0.2,0.5,1,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.2,0.5,5,0.559910847811948,0.9777840199694716,0.0412334343745612,1.0
0.2,0.5,10,0.5759278425040333,0.9777840199694716,0.0941039400037495,1.0
0.3,0.0,1,0.4047182901143469,1.0,0.0208386633938436,0.8888888888888888
0.3,0.0,5,0.40900922372986687,1.0,0.0352932656460089,0.9259259259259259
0.3,0.0,10,0.42546613267057726,1.0,0.0941039400037495,1.0
0.3,0.05,1,0.4047182901143469,1.0,0.0208386633938436,0.8888888888888888
0.3,0.05,5,0.40900922372986687,1.0,0.0352932656460089,0.9259259259259259
0.3,0.05,10,0.42546613267057726,1.0,0.0941039400037495,1.0
0.3,0.1,1,0.4047182901143469,1.0,0.0208386633938436,0.8888888888888888
0.3,0.1,5,0.40900922372986687,1.0,0.0352932656460089,0.9259259259259259
0.3,0.1,10,0.42546613267057726,1.0,0.0941039400037495,1.0
0.3,0.15,1,0.4047182901143469,1.0,0.0208386633938436,0.8888888888888888
0.3,0.15,5,0.40900922372986687,1.0,0.0352932656460089,0.9259259259259259
0.3,0.15,10,0.42595980497675634,1.0,0.0941039400037495,1.0
0.3,0.2,1,0.4047182901143469,1.0,0.0208386633938436,0.8888888888888888
0.3,0.2,5,0.40939393183193856,1.0,0.0352932656460089,0.9259259259259259
0.3,0.2,10,0.42683851538089734,1.0,0.0941039400037495,1.0
0.3,0.25,1,0.4136870686224188,1.0,0.0235237602592878,0.8888888888888888
0.3,0.25,5,0.4145047693826658,1.0,0.0352932656460089,0.9259259259259259
0.3,0.25,10,0.43293700067560814,1.0,0.0941039400037495,1.0
0.3,0.3,1,0.4156035993153385,1.0,0.0235237602592878,0.8888888888888888
0.3,0.3,5,0.4164213000755857,1.0,0.0352932656460089,0.9259259259259259
0.3,0.3,10,0.4358411597050552,1.0,0.0941039400037495,1.0
0.3,0.35,1,0.4346115066428639,1.0,0.0235237602592878,0.8888888888888888
0.3,0.35,5,0.435429207403111,1.0,0.0352932656460089,0.9259259259259259
0.3,0.35,10,0.4599247231220723,1.0,0.0941039400037495,1.0
0.3,0.4,1,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.3,0.4,5,0.45332593023012924,1.0,0.0352932656460089,0.9259259259259259
0.3,0.4,10,0.4783152806260476,1.0,0.0941039400037495,1.0
0.3,0.45,1,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.3,0.45,5,0.4705208146039764,0.9666652449045674,0.0352932656460089,0.9259259259259259
0.3,0.45,10,0.49600402140036326,0.9666652449045674,0.0941039400037495,1.0
0.3,0.5,1,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.3,0.5,5,0.559910847811948,0.9777840199694716,0.0412334343745612,1.0
0.3,0.5,10,0.5759278425040333,0.9777840199694716,0.0941039400037495,1.0
0.4,0.0,1,0.44476844001962207,1.0,0.0235237602592878,0.8888888888888888
0.4,0.0,5,0.4455861407798691,1.0,0.0352932656460089,0.9259259259259259
0.4,0.0,10,0.4666249404962511,1.0,0.0941039400037495,1.0
0.4,0.05,1,0.44476844001962207,1.0,0.0235237602592878,0.8888888888888888
0.4,0.05,5,0.4455861407798691,1.0,0.0352932656460089,0.9259259259259259
0.4,0.05,10,0.4666249404962511,1.0,0.0941039400037495,1.0
0.4,0.1,1,0.44476844001962207,1.0,0.0235237602592878,0.8888888888888888
0.4,0.1,5,0.4455861407798691,1.0,0.0352932656460089,0.9259259259259259
0.4,0.1,10,0.4666249404962511,1.0,0.0941039400037495,1.0
0.4,0.15,1,0.44476844001962207,1.0,0.0235237602592878,0.8888888888888888
0.4,0.15,5,0.4455861407798691,1.0,0.0352932656460089,0.9259259259259259
0.4,0.15,10,0.4671186128024302,1.0,0.0941039400037495,1.0
0.4,0.2,1,0.44476844001962207,1.0,0.0235237602592878,0.8888888888888888
0.4,0.2,5,0.4455861407798691,1.0,0.0352932656460089,0.9259259259259259
0.4,0.2,10,0.4676126151044996,1.0,0.0941039400037495,1.0
0.4,0.25,1,0.4452903166184004,1.0,0.0235237602592878,0.8888888888888888
0.4,0.25,5,0.4461080173786474,1.0,0.0352932656460089,0.9259259259259259
0.4,0.25,10,0.4691221394472614,1.0,0.0941039400037495,1.0
0.4,0.3,1,0.4462806955834495,1.0,0.0235237602592878,0.8888888888888888
0.4,0.3,5,0.4470983963436965,1.0,0.0352932656460089,0.9259259259259259
0.4,0.3,10,0.4711001467488379,1.0,0.0941039400037495,1.0
0.4,0.35,1,0.44974343842075837,1.0,0.0235237602592878,0.8888888888888888
0.4,0.35,5,0.45056113918100543,1.0,0.0352932656460089,0.9259259259259259
0.4,0.35,10,0.4750566548999668,1.0,0.0941039400037495,1.0
0.4,0.4,1,0.4525082294698822,1.0,0.0235237602592878,0.8888888888888888
0.4,0.4,5,0.45332593023012924,1.0,0.0352932656460089,0.9259259259259259
0.4,0.4,10,0.4783152806260476,1.0,0.0941039400037495,1.0
0.4,0.45,1,0.47013902145064496,0.9666652449045674,0.0309250192346112,0.9259259259259259
0.4,0.45,5,0.4705208146039764,0.9666652449045674,0.0352932656460089,0.9259259259259259
0.4,0.45,10,0.49600402140036326,0.9666652449045674,0.0941039400037495,1.0
0.4,0.5,1,0.5595290546586166,0.9777840199694716,0.0309250192346112,1.0
0.4,0.5,5,0.559910847811948,0.9777840199694716,0.0412334343745612,1.0
0.4,0.5,10,0.5759278425040333,0.9777840199694716,0.0941039400037495,1.0
0.5,0.0,1,0.4904583297523122,0.9777840199694716,0.0309250192346112,0.9629629629629629
0.5,0.0,5,0.49084012290564366,0.9777840199694716,0.0352932656460089,0.9629629629629629
0.5,0.0,10,0.5113495322365386,0.9777840199694716,0.0941039400037495,1.0
0.5,0.05,1,0.4909871083071124,0.9777840199694716,0.0309250192346112,0.9629629629629629
0.5,0.05,5,0.4913689014604439,0.9777840199694716,0.0352932656460089,0.9629629629629629
0.5,0.05,10,0.5113495322365386,0.9777840199694716,0.0941039400037495,1.0
0.5,0.1,1,0.4909871083071124,0.9777840199694716,0.0309250192346112,0.9629629629629629
0.5,0.1,5,0.4913689014604439,0.9777840199694716,0.0352932656460089,0.9629629629629629
0.5,0.1,10,0.5113495322365386,0.9777840199694716,0.0941039400037495,1.0
0.5,0.15,1,0.4909871083071124,0.9777840199694716,0.0309250192346112,0.9629629629629629
0.5,0.15,5,0.4913689014604439,0.9777840199694716,0.0352932656460089,0.9629629629629629
